韻,小韻,切韻,王韻,廣韻,切韻校,上字擬音,下字擬音,小韻擬音
阮,晚,無遠,無遠,無遠,無遠,muɔ̄,ɦuɔ́n,muɔ́n
阮,反,府遠,府遠,府遠,甫遠,puɔ́,ɦuɔ́n,puɔ́n
阮,𧯦,求晚,求晚,求晚,裘晚,gū,muɔ́n,guɔ́n
阮,婉,於阮,於阮,於阮,於阮,ʔɯʌ̄,ŋuɔ́n,ʔuɔ́n
阮,䅚,去阮,去阮,去阮,去阮,kʰɯʌ́,ŋuɔ́n,kʰuɔ́n
阮,暅,況晚,況晚,況晚,況晚,xuɑ̀ɴ,muɔ́n,xuɔ́n
阮,軬,扶遠,丘遠,扶晚,扶遠,buɔ̄,ɦuɔ́n,buɔ́n
混,混,胡夲,胡夲,胡本,胡夲,ʁɔ̄,pɔ́n,ʁɔ́n
混,忖,倉夲,倉本,倉本,倉夲,ʦʰɑ̄ɴ,pɔ́n,ʦʰɔ́n
混,夲,布忖,布忖,布忖,布忖,pɔ̀,ʦʰɔ́n,pɔ́n
混,損,蘇夲,蘇夲,蘇本,蘇夲,sɔ̄,pɔ́n,sɔ́n
混,𠟃,茲損,茲損,茲損,茲損,ʦɯ̄,sɔ́n,ʦɔ́n
混,穩,烏夲,烏夲,烏本,烏夲,ʔɔ̄,pɔ́n,ʔɔ́n
混,囤,徒損,徒損,徒損,徒損,dɔ̄,sɔ́n,dɔ́n
混,鱒,徂夲,徂夲,才本,徂夲,ʣɔ̄,pɔ́n,ʣɔ́n
混,𩩌,古夲,古夲,古本,古夲,qɔ́,pɔ́n,qɔ́n
混,畽,他夲,他夲,他衮,他夲,tʰɑ̄,pɔ́n,tʰɔ́n
混,閫,苦夲,苦夲,苦本,苦夲,qʰɔ́,pɔ́n,qʰɔ́n
混,獖,盆夲,盆夲,蒲本,盆夲,bɔ̄n,pɔ́n,bɔ́n
混,㤻,／,盧本,盧本,盧夲,lɔ̀,pɔ́n,lɔ́n
佷,佷,痕墾,痕墾,胡墾,痕墾,ʁʌ̄n,qʰʌ́n,ʁʌ́n
佷,墾,康佷,康佷,康很,康佷,qʰɑ̄ɴ,ʁʌ́n,qʰʌ́n
佷,䫀,古佷,古佷,古很,古佷,qɔ́,ʁʌ́n,qʌ́n
旱,旱,何𫉗,何滿,胡笴,何滿,ʁɑ̄,mɑ́n,ʁɑ́n
旱,緩,胡管,胡管,胡管,胡管,ʁɔ̄,qʷɑ́n,ʁʷɑ́n
旱,短,都管,都管,都管,都管,tɔ̄,qʷɑ́n,tʷɑ́n
旱,算,蘇管,蘇管,蘇管,蘇管,sɔ̄,qʷɑ́n,sʷɑ́n
旱,欵,苦管,苦管,苦管,苦管,qʰɔ́,qʷɑ́n,qʰʷɑ́n
旱,餪,乃管,乃管,乃管,乃管,nʌ́i,qʷɑ́n,nʷɑ́n
旱,纂,作管,作管,作管,作管,ʦɑ̇q,qʷɑ́n,ʦʷɑ́n
旱,椀,烏管,烏管,烏管,烏管,ʔɔ̄,qʷɑ́n,ʔʷɑ́n
旱,粄,博管,博管,博管,博管,pɑ̇q,qʷɑ́n,pɑ́n
旱,管,古纂,古纂,古滿,古纂,qɔ́,ʦʷɑ́n,qʷɑ́n
旱,斷,徒管,徒管,徒管,徒管,dɔ̄,qʷɑ́n,dʷɑ́n
旱,疃,他管,他管,吐緩,他管,tʰɑ̄,qʷɑ́n,tʰʷɑ́n
旱,伴,薄旱,薄旱,蒲旱,泊旱,bɑ̇q,ʁɑ́n,bɑ́n
旱,卵,落管,落管,盧管,落管,lɑ̇q,qʷɑ́n,lʷɑ́n
旱,滿,莫旱,莫旱,莫旱,莫旱,mɑ̇q,ʁɑ́n,mɑ́n
旱,但,徒旱,徒旱,徒旱,徒旱,dɔ̄,ʁɑ́n,dɑ́n
旱,坦,他但,他但,他但,他但,tʰɑ̄,dɑ́n,tʰɑ́n
旱,亶,多旱,多旱,多旱,多旱,tɑ̄,ʁɑ́n,tɑ́n
旱,嬾,落旱,落旱,落旱,落旱,lɑ̇q,ʁɑ́n,lɑ́n
旱,笴,各旱,各旱,古旱,各旱,qɑ̇q,ʁɑ́n,qɑ́n
旱,𢿨,蘇旱,蘇旱,蘇旱,蘇旱,sɔ̄,ʁɑ́n,sɑ́n
旱,瓉,昨旱,昨旱,藏旱,昨旱,ʣɑ̇q,ʁɑ́n,ʣɑ́n
旱,罕,呼稈,呼稈,呼旱,呼笴,xɔ̄,qɑ́n,xɑ́n
旱,侃,空旱,空旱,空旱,空旱,qʰɔūɴ,ʁɑ́n,qʰɑ́n
旱,懣,亡伴,莫夲,模本,亡伴,muɑ̄ɴ,bɑ́n,mɔ́n
旱,攤,／,奴但,奴但,奴但,nɔ̄,dɑ́n,nɑ́n
潸,潸,數板,數板,數板,數板,ʂuɔ́,pʴán,ʂán
潸,綰,烏板,烏板,烏板,烏板,ʔɔ̄,pʴán,ʔʷʴán
潸,板,布綰,布綰,布綰,布綰,pɔ̀,ʔʷʴán,pʴán
潸,䩆,側板,側板,側板,稄板,ꭧɯ̇k,pʴán,ꭧán
潸,𧹞,奴板,奴板,奴板,奴板,nɔ̄,pʴán,nʴán
潸,僴,下𧹞,胡板,下赧,下𧹞,ʁʴá,nʴán,ʁʴán
潸,睆,戶板,戶板,戶板,戶板,ʁɔ́,pʴán,ʁʷʴán
潸,阪,扶板,扶板,扶板,扶板,buɔ̄,pʴán,bʴán
潸,矕,武板,武板,武板,武板,muɔ́,pʴán,mʴán
潸,𪘪,士板,士板,士板,士板,ꭦɯ́,pʴán,ꭦán
潸,㹽,初板,初板,初板,初板,ꭧʰɯʌ̄,pʴán,ꭧʰán
潸,𪗙,五板,五板,五板,五板,ɴɔ́,pʴán,ɴʴán
潸,莧,／,胡板,／,胡板,ʁɔ̄,pʴán,ʁʷʴán
產,產,所簡,所簡,所𥳑,所簡,ʂɯʌ́,qʴɛ́n,ʂɛ́n
產,限,胡簡,胡簡,胡𥳑,胡簡,ʁɔ̄,qʴɛ́n,ʁʴɛ́n
產,𥇅,武限,武限,武𥳑,武限,muɔ́,ʁʴɛ́n,mʴɛ́n
產,簡,古限,古限,古限,古限,qɔ́,ʁʴɛ́n,qʴɛ́n
產,剗,初限,初限,初限,初限,ꭧʰɯʌ̄,ʁʴɛ́n,ꭧʰɛ́n
產,棧,士限,士限,士限,士限,ꭦɯ́,ʁʴɛ́n,ꭦɛ́n
產,眼,五限,五限,五限,五限,ɴɔ́,ʁʴɛ́n,ɴʴɛ́n
產,醆,側限,側限,阻限,稄限,ꭧɯ̇k,ʁʴɛ́n,ꭧɛ́n
產,㸧,／,口限,起限,口限,qʰɔú,ʁʴɛ́n,qʰʴɛ́n
銑,銑,蘇顯,蘇典,蘇典,蘇顯,sɔ̄,xɛ́n,sɛ́n
銑,腆,他典,他典,他典,他典,tʰɑ̄,tɛ́n,tʰɛ́n
銑,典,多顯,多繭,多殄,多顯,tɑ̄,xɛ́n,tɛ́n
銑,蝘,於𣧠,於殄,於殄,於𣧠,ʔɯʌ̄,dɛ́n,ʔɛ́n
銑,𣧠,徒顯,徒典,徒典,徒顯,dɔ̄,xɛ́n,dɛ́n
銑,蠒,古典,古典,古典,古典,qɔ́,tɛ́n,qɛ́n
銑,峴,胡顯,胡繭,胡典,胡顯,ʁɔ̄,xɛ́n,ʁɛ́n
銑,顯,呼典,呼典,呼典,呼典,xɔ̄,tɛ́n,xɛ́n
銑,撚,奴典,奴典,乃殄,奴典,nɔ̄,tɛ́n,nɛ́n
銑,㨠,亡𣧠,亡典,彌殄,亡𣧠,muɑ̄ɴ,dɛ́n,mɛ́n
銑,編,方顯,方繭,方典,方顯,puɑ̄ɴ,xɛ́n,pɛ́n
銑,泫,胡犬,胡犬,胡畎,胡犬,ʁɔ̄,qʰʷɛ́n,ʁʷɛ́n
銑,辮,薄顯,薄典,薄泫,泊顯,bɑ̇q,xɛ́n,bɛ́n
銑,畎,古泫,古泫,姑泫,古泫,qɔ́,ʁʷɛ́n,qʷɛ́n
銑,犬,苦泫,苦泫,苦泫,苦泫,qʰɔ́,ʁʷɛ́n,qʰʷɛ́n
