字	韻
菩	並區咍上
菩	並依尤上
菪	定・唐去
菬	從伊宵平
菬	章伊宵上
菭	定・咍平
菭	澄漪脂平
華	匣蛙麻平
華	匣蛙麻去
華	曉蛙麻平
菰	見・模平
菱	來依蒸平
菲	並威微去
菲	滂威微平
菲	滂威微上
菳	谿漪侵平
菴	影・覃平
菴	影漪鹽平
菵	明威陽上
菶	並・東上
菶	幫・東上
菸	影・仙平
菸	影依魚去
菹	莊漪魚平
菺	見・仙平
菻	來伊侵上
菼	透・談上
菽	書惟東入
菾	定・添平
菿	端・豪去
菿	知娃江入
萀	曉・模上
萁	羣依之平
萁	見依之平
萃	從惟脂去
萄	定・豪平
萆	並伊清入
萆	心依之上
萇	澄漪陽平
萈	匣區寒平
萉	並威微去
萊	來・咍平
萊	來・咍去
萋	清・齊平
萌	明娃耕平
萍	並・青平
萎	影逶支平
萎	影逶支去
萏	定・覃上
萐	生娃咸入
萐	生漪鹽入
萑	匣區寒平
萑	章惟脂平
萒	羣逶先上
萒	以惟先上
萘	泥・泰去
萜	透・添入
萣	定・青去
萩	清依尤平
萪	谿區歌平
萫	曉依陽去
萬	明威元去
萭	見威魚上
萭	云威魚上
萮	以惟魚平
萯	並依尤上
萰	來・仙去
萱	曉威元平
萳	泥・覃上
萴	崇漪蒸入
萴	莊漪蒸入
萵	影區歌平
萸	以惟魚平
萹	幫・仙平
萹	幫・仙上
萹	滂伊先平
萺	明・冬入
萺	明威東入
萼	疑・唐入
落	來・唐入
萿	見區寒入
葀	見區寒入
葃	從・唐入
葃	從伊清入
葃	崇娃耕入
葆	幫・豪上
葇	日伊尤平
葇	日伊尤上
葉	以伊鹽入
葉	書伊鹽入
葋	羣威魚平
葌	見娃刪平
葍	幫威東入
葎	來惟真入
葏	精伊先平
葐	並區痕平
葐	並威文平
葑	幫威冬平
葑	幫威冬去
葒	匣・東平
葓	匣・東平
葔	匣・侯平
葖	定區痕入
著	澄漪陽入
著	澄漪魚平
著	知漪陽入
著	知漪魚去
著	知漪魚上
葘	莊漪之平
葙	心依陽平
葚	船伊侵上
葛	見・寒入
葜	谿娃山入
葝	羣伊清平
葝	羣漪清平
葞	明伊支上
葟	匣區唐平
葡	並・模平
董	端・東上
葤	澄漪尤上
葥	精伊先去
葦	云威微上
葨	影區咍平
葩	滂娃麻平
葫	匣・模平
葫	曉・模平
葬	精・唐去
葭	見娃麻平
葯	影娃江入
葯	影依陽入
葰	生蛙麻上
葰	心區歌上
葰	心惟脂平
葱	清・東平
葲	從惟先平
葳	影威微平
葴	章伊侵平
葵	羣惟脂平
葶	定・青平
葶	端・青上
葷	曉威文平
葸	心依之上
葹	書伊支平
葺	清伊侵入
葺	精伊侵入
葻	來・覃平
葼	精・東平
葽	影・蕭平
葽	影・蕭上
葽	影伊宵平
葽	影伊宵去
葾	影威元平
葿	明漪脂平
蒀	影威文平
蒂	端・齊去
蒈	谿娃皆上
蒎	滂娃佳去
蒐	生漪尤平
蒒	生漪脂平
蒓	常惟真平
蒔	常伊之平
蒔	常伊之去
蒖	章伊真平
蒗	來・唐去
蒘	日伊魚平
蒘	孃娃麻平
蒘	孃漪魚平
蒙	明・東平
蒚	匣娃耕入
蒚	來・青入
蒛	谿惟先入
蒜	心區寒去
蒝	疑威元平
蒞	來伊脂去
蒟	見威魚去
蒟	見威魚上
蒠	心依蒸入
蒡	並娃庚平
蒡	幫・唐上
蒢	澄漪魚平
蒤	定・模平
蒥	來依尤平
蒨	清・仙去
蒩	清依魚平
蒩	精・模平
蒩	精・模上
蒪	滂・唐入
蒫	從・歌平
蒫	精伊脂平
蒫	精伊麻平
蒬	影威元平
蒮	以惟東入
蒯	谿蛙皆去
蒱	並・模平
蒲	並・模平
蒳	泥・覃入
蒴	生娃江入
蒵	匣・齊平
蒵	匣・齊去
蒸	章伊蒸平
蒹	見・添平
蒺	從伊真入
蒻	日伊陽入
蒼	清・唐平
蒼	清・唐上
蒽	影・痕平
蒿	曉・豪平
蓀	心區痕平
蓁	莊漪真平
蓂	明・青入
蓂	明・青平
蓄	曉威東入
蓄	徹逶東入
蓆	邪伊清入
蓇	見區痕入
蓈	來・唐平
蓉	以惟冬平
蓊	影・東平
蓊	影・東上
蓋	匣・談入
蓋	見・泰去
蓋	見・談入
蓍	書伊脂平
蓎	定・唐平
蓏	來區歌上
蓐	日惟冬入
蓑	心區咍平
蓑	心區歌平
蓒	曉依元平
蓓	並區咍上
蓖	幫・齊平
蓘	見區痕上
蓧	定・青入
蓧	透・蕭平
蓨	透・青入
蓩	明・豪上
蓩	明・東入
蓪	透・東平
蓫	澄逶東入
蓫	曉威東入
蓫	徹逶東入
蓬	並・東平
蓮	來・仙平
蓮	來伊先上
蓯	精・東上
蓰	心伊支上
蓰	生漪支上
蓱	並・青平
蓲	谿依尤平
蓲	影・侯平
蓲	影威魚平
蓲	影威魚去
蓴	常惟真平
蓶	以惟脂平
蓶	以惟脂上
蓷	透區咍平
蓷	昌惟脂平
蓸	從・豪平
蓺	疑伊祭去
蓻	精伊侵入
蓼	來・蕭上
蓼	來威東入
蓽	幫伊真入
蓾	來・模上
蓿	心威東入
蔀	並・侯上
蔀	滂・侯上
蔁	章伊陽平
蔄	來・侯去
蔄	明娃山去
蔆	來依蒸平
蔇	見依微去
蔈	幫伊宵平
蔊	曉・寒上
蔋	定・青入
蔌	心・東入
蔍	來・東入
蔎	書伊先入
蔏	書伊陽平
蔑	明・仙入
蔓	明・寒平
蔓	明威元去
蔔	並・登入
蔕	端・齊去
蔖	從・歌平
蔖	清・模上
蔗	章伊麻去
蔘	心・覃平
蔘	生漪侵平
蔚	影威微去
蔚	影威文入
蔛	匣・東入
蔜	疑・豪平
蔝	明・齊上
蔞	來・侯平
蔞	來威魚平
蔞	來威魚上
蔟	清・侯去
蔟	清・東入
蔠	章惟東平
蔡	清・泰去
蔢	並・歌平
蔣	精依陽平
蔣	精依陽上
蔤	明漪真入
蔥	清・東平
蔦	端・蕭去
蔦	端・蕭上
蔧	邪惟脂去
蔨	羣逶先上
蔨	羣逶真上
蔩	以伊脂平
蔩	以伊先上
蔩	以伊真平
蔪	從伊鹽上
蔫	影漪先平
蔫	影依元平
蔬	生漪魚平
蔭	影漪侵去
蔮	見區咍去
蔱	生娃山入
蔱	生漪祭去
蔲	曉・侯去
蔸	端・侯平
蔻	曉・侯去
蔽	幫伊祭去
蔾	來・齊平
蔾	來伊脂平
蔿	云逶支上
蕀	見依蒸入
蕁	定・覃平
蕂	書伊蒸去
蕃	並威元平
蕃	幫威元平
蕄	明娃耕平
蕄	明・登平
蕅	疑・侯上
蕆	徹漪先上
蕇	端・仙上
蕈	從伊侵上
蕉	精伊宵平
蕊	日惟支上
蕊	日惟脂上
蕍	以惟魚平
蕎	羣漪宵平
蕎	見漪宵平
蕑	見娃山平
蕒	明娃佳上
蕓	云威文平
蕕	以伊尤平
蕖	羣依魚平
蕗	來・模去
蕘	日伊宵平
蕙	匣區齊去
蕛	定・齊平
蕝	精惟祭去
蕝	精惟先入
蕞	從區泰去
蕠	日伊魚平
蕡	並威文平
蕢	羣逶脂去
蕢	谿蛙皆去
蕣	書惟真去
蕤	日惟脂平
蕦	心威魚平
蕧	並威東入
蕧	滂威東入
蕨	見威元入
蕩	定・唐上
蕩	端・唐上
蕩	透・唐去
蕪	明威魚平
蕫	定・東平
蕫	端・東上
蕬	心依之平
蕭	心・蕭平
蕮	心伊清入
蕰	影區痕平
蕰	影威文去
蕰	影威文上
蕵	心區痕平
蕶	來・青平
蕷	以伊魚去
蕸	匣娃麻平
蕹	影・東去
蕹	影威冬平
蕺	莊漪侵入
蕻	匣・東去
蕼	心伊脂去
蕾	來區咍上
薁	影威東入
薂	匣・青入
薃	匣・豪上
薄	並・唐入
薅	曉・豪平
薆	影・咍去
薇	明威微平
薇	明漪脂平
薈	影區泰去
薉	影威廢去
薊	見・齊去
薋	從伊脂平
薌	曉依陽平
薍	疑蛙刪去
薏	影依蒸入
薑	見依陽平
薒	清・寒去
薓	生漪侵平
薔	從依陽平
薔	生漪蒸入
薕	來・添平
薕	來伊鹽平
薖	谿區歌平
薘	定・寒入
薙	澄漪脂上
薙	透・齊去
薙	邪伊脂上
薚	透・唐平
薛	心伊先入
薜	並・齊去
薜	幫娃耕入
薞	心區痕平
薟	來伊鹽平
薟	來伊鹽上
薠	並威元平
薡	端・青上
薢	見娃佳去
薢	見娃皆平
薢	見娃佳上
薤	匣娃皆去
薦	精・仙去
薧	曉・豪平
薧	谿・豪去
薧	谿・豪上
薨	曉區登平
薩	心・寒入
薪	心伊真平
薫	曉威文平
薫	曉威文去
薯	常伊魚去
薰	曉威文平
薰	曉威文去
薱	定區咍去
薲	並伊真平
薳	云逶支上
薴	孃娃耕平
薵	澄漪尤平
薶	明娃皆平
薷	日惟魚平
薷	日惟魚上
薸	並伊宵平
薹	定・咍平
薺	從・齊上
薺	從伊脂平
薻	精・豪上
薽	見伊先平
薽	章伊真平
薾	泥・齊上
薿	疑依蒸入
薿	疑依之上
藁	見・豪上
藂	從・東平
藃	曉娃肴平
藃	曉・豪去
藃	曉漪宵平
藄	羣依之平
藅	並威元入
藆	見漪先上
藇	以伊魚平
藇	以伊魚去
藇	以伊魚上
藇	心依魚平
藇	邪依魚上
藈	谿區齊平
藉	從伊麻去
藉	從伊清入
藊	幫・仙上
藋	定・蕭去
藍	來・談平
藎	邪伊真去
藏	從・唐平
藏	從・唐去
藐	明伊宵上
藐	明娃江入
藑	羣惟清平
藒	谿漪先入
藕	疑・侯上
藖	匣娃山平
藖	匣娃山去
藗	心・東入
藘	來依魚平
藙	疑依微去
藚	邪威冬入
藜	來・齊平
藝	疑伊祭去
藞	來娃麻上
藟	來惟脂上
藠	匣・蕭上
藠	見・蕭去
藣	幫漪支平
藣	幫漪支去
藤	定・登平
藥	以伊陽入
藥	來依陽入
藨	並漪宵上
藨	滂・豪平
藨	幫漪宵平
藩	並威元平
藩	幫威元平
藪	心・侯上
藫	定・覃平
藬	透區咍平
藭	羣威東平
藮	從伊宵平
藳	見・豪上
藴	影威文平
藴	影威文去
藴	影威文上
藶	來・青入
藷	常伊魚去
藷	章伊魚平
藸	澄漪魚平
藸	知漪魚平
藹	影・泰去
藺	來伊真去
藻	精・豪上
藾	來・泰去
藿	曉區唐入
蘀	透・唐入
蘂	日惟支上
蘄	羣依之平
蘄	羣依文平
蘄	見依微平
蘅	匣娃庚平
蘆	來・模平
蘆	來依魚平
蘇	心・模平
蘈	定區咍平
蘉	明・唐平
蘊	影威文平
蘊	影威文上
蘋	並伊真平
蘌	疑依魚上
蘑	明・歌平
蘖	疑・寒入
蘖	疑漪先入
蘗	幫娃耕入
蘘	日伊陽平
蘙	影・齊去
蘚	心伊先上
蘛	以惟東入
蘜	見威東入
蘞	曉依嚴平
蘞	來伊鹽平
蘞	來伊鹽上
蘠	從依陽平
蘡	影伊清平
蘢	來・東平
蘢	來威冬平
蘣	透・侯上
蘤	云逶支上
蘥	以伊陽入
蘦	來・青平
蘧	羣威魚平
蘧	羣依魚平
蘨	以伊宵平
蘨	以伊尤平
蘩	並威元平
蘪	明漪脂平
蘫	曉・談去
蘫	來・談平
蘬	谿逶脂平
蘬	谿逶脂上
蘬	谿威微平
蘭	來・寒平
蘮	見漪祭去
蘱	來區咍去
蘱	來惟脂去
蘳	匣蛙麻上
蘳	曉惟支平
蘴	滂威東平
蘴	滂威冬平
蘸	莊娃咸去
蘹	匣蛙皆平
蘺	來伊支平
蘻	見・齊去
蘼	明漪支平
蘼	明漪支上
蘽	來惟脂上
蘾	匣蛙皆去
蘿	來・歌平
虂	來・模去
虃	精伊鹽平
虆	來惟脂平
虇	谿威元去
虇	谿威元上
虈	曉漪宵平
虉	疑娃耕入
虉	疑・青入
虋	明區痕平
虌	幫伊先入
虍	曉・模平
虎	曉・模上
虐	疑依陽入
虒	心伊支平
虓	曉娃肴平
虔	羣漪先平
處	昌伊魚去
處	昌伊魚上
虖	匣・模平
虖	曉・模平
虖	曉威魚平
虘	從・歌平
虙	並威東入
虚	曉依魚平
虚	谿依魚平
虛	曉依魚平
虜	來・模上
虞	疑威魚平
號	匣・豪平
號	匣・豪去
虡	羣依魚上
虢	見蛙庚入
虣	並・豪去
虤	疑娃山平
虥	崇娃刪去
虥	崇娃山上
虧	谿逶支平
虨	幫娃山平
虨	滂漪真平
虨	幫漪真平
虩	曉漪清入
虩	生娃耕入
虪	書惟東入
虫	曉威微上
虮	見漪脂平
虯	羣伊幽平
虰	澄娃耕平
虰	端・青平
虰	徹漪清平
虱	生漪真入
虴	知娃庚入
虵	以伊麻上
虵	以伊支平
虵	船伊麻平
虶	影威魚平
虷	匣・寒平
虸	精依之上
虹	匣・東平
虹	見娃江去
虹	見・東去
虺	曉區咍平
虺	曉威微上
虺	曉蛙皆平
虻	明娃庚平
蚄	幫威陽平
蚅	影娃耕入
蚆	幫娃麻平
蚆	滂娃麻平
蚇	昌伊清入
蚈	谿・仙平
蚊	明威文平
蚋	日惟祭去
蚋	日惟先入
蚌	並娃江上
蚍	並伊脂平
蚏	云威元入
蚑	羣伊支平
蚑	谿伊支去
蚓	以伊真上
蚕	透・仙上
蚖	疑威元平
蚖	疑區寒平
蚗	見區仙入
蚘	匣區咍平
蚚	匣區咍去
蚚	羣依微平
蚜	曉娃麻平
蚜	疑娃麻平
蚝	清依之去
蚞	明・東入
蚟	云威陽平
蚡	並威文平
蚡	並威文上
蚢	匣・唐平
蚢	匣・唐上
蚢	谿・唐去
蚣	見・東平
蚣	章惟冬平
蚤	精・豪上
蚥	並威魚上
蚥	幫威魚上
蚧	見娃皆去
蚨	並威魚平
蚩	昌伊之平
蚪	端・侯上
蚭	孃漪脂平
蚯	谿依尤平
蚰	以伊尤平
蚱	莊娃庚入
蚲	並漪清平
蚳	澄漪脂平
蚴	影伊幽上
蚵	匣・歌平
蚵	谿・歌去
蚶	曉・談平
蚹	並威魚去
蚺	日伊鹽平
蚻	莊娃山入
蚼	羣威魚平
蚼	曉・侯上
蚿	匣・仙平
蛀	章惟魚去
蛁	端・蕭平
蛂	並・仙入
蛃	幫漪清上
蛄	見・模平
蛅	日伊鹽平
蛆	清依魚平
蛆	精依魚平
蛇	以伊支平
蛇	透・歌平
蛇	船伊麻平
蛈	透・仙入
蛉	來・青平
蛋	定・寒上
蛐	谿威冬入
蛑	明依尤平
蛒	見娃庚入
蛓	清伊支去
蛓	清依之去
蛔	匣區咍平
蛕	匣區咍平
蛕	曉區咍上
蛖	明娃江平
蛘	以伊陽平
蛘	以伊陽上
蛙	影蛙麻平
蛙	影蛙佳平
蛚	來伊先入
蛛	知逶魚平
蛜	影伊脂平
蛝	匣娃山平
蛞	谿區寒入
蛟	見娃肴平
蛡	以伊蒸入
蛢	並・青平
蛣	谿伊真入
蛤	見・覃入
蛥	船伊先入
蛦	以伊脂平
蛧	明威陽上
蛨	明娃庚入
蛩	羣威冬平
蛪	谿・仙入
蛫	見逶支上
蛬	羣威冬平
蛬	見威冬上
蛭	端・仙入
蛭	章伊真入
蛭	知漪真入
蛵	曉・青平
蛶	來區寒入
蛶	來惟先入
蛷	羣依尤平
蛸	心伊宵平
蛸	生娃肴平
蛹	以惟冬上
蛺	見・添入
蛻	以惟先入
蛻	書惟祭去
蛻	透區歌去
蛻	透區泰去
蛾	疑・歌平
蛾	疑漪支上
蜀	常惟冬入
蜁	邪惟先平
蜂	並・東平
蜂	滂威冬平
蜃	常伊真去
蜃	常伊真上
蜅	並・模平
蜅	幫威魚上
蜆	匣・仙上
蜆	曉・仙上
蜆	谿・仙去
蜇	知漪先入
蜈	見・仙入
蜈	疑・模平
蜉	並依尤平
蜊	來伊脂平
蜋	來・唐平
蜋	來依陽平
蜍	常伊魚平
蜍	以伊魚平
蜎	羣惟先上
蜎	影區仙平
蜎	影惟先平
蜏	以伊尤去
蜏	以伊尤上
蜏	心依尤去
蜐	見依嚴入
蜑	定・寒上
蜒	定・仙上
蜒	以伊先平
蜓	定・青平
蜓	定・青上
蜓	定・仙上
蜘	知漪支平
蜙	心威冬平
蜚	並威微去
蜚	幫威微上
蜛	見依魚平
蜜	明伊真入
蜝	羣依之平
蜞	羣依之平
蜟	以惟東入
蜠	羣逶真上
蜠	谿逶真平
蜡	崇娃麻去
蜡	清依魚去
蜢	明娃庚上
蜣	谿依陽平
蜤	心伊支平
蜥	心・青入
蜦	來・齊去
蜦	來惟真平
蜧	來・齊去
蜨	心・添入
蜩	定・蕭平
蜪	定・豪平
蜪	透・豪平
蜫	見區痕平
蜬	匣・覃平
蜬	見・覃平
蜭	匣・覃去
蜭	匣・覃上
蜮	匣區登入
蜮	云逶蒸入
蜯	並娃江上
蜰	並威微平
蜰	幫威微上
蜱	並伊支平
蜱	明伊宵平
蜲	影逶支平
蜲	影逶支上
蜴	以伊清入
蜷	羣逶先平
蜸	谿・仙上
蜹	以惟祭去
蜹	日惟祭去
蜹	日惟先入
蜺	疑・齊平
蜺	疑・仙入
蜻	清・青平
蜻	精伊清平
蜼	以伊尤去
蜼	以惟脂去
蜼	來惟脂上
蜽	來依陽上
蜾	見區歌上
蜿	影威元平
蜿	影威元上
蜿	影區寒平
蝀	端・東平
蝀	端・東上
蝁	影・唐入
蝂	幫娃刪上
蝃	端・齊去
蝃	章惟先入
蝆	以伊陽上
蝆	明伊支上
蝌	谿區歌平
蝍	精・仙入
蝍	精伊真入
蝍	精依蒸入
蝎	匣・寒入
蝑	心伊麻去
蝑	心依魚平
蝒	明伊先平
蝓	以惟魚平
蝔	匣娃皆平
蝔	見娃皆平
蝕	船伊蒸入
蝖	曉威元平
蝗	匣蛙庚平
蝗	匣蛙庚去
蝗	匣區唐平
蝘	影・仙上
蝘	影依元上
蝙	幫・仙平
蝚	日伊尤平
蝛	影威微平
蝜	並依尤上
蝝	以惟先平
蝞	明漪脂去
蝟	云威微去
蝠	幫威東入
蝡	日惟先上
蝡	日惟真上
蝣	以伊尤平
蝤	從依尤平
蝤	精依尤平
蝥	明娃肴平
蝥	明依尤平
蝥	明威魚平
蝥	明威魚去
蝦	匣娃麻平
蝨	生漪真入
蝩	澄逶冬平
蝪	透・唐平
蝬	精・東平
蝭	定・齊平
蝭	端・齊去
蝮	滂威東入
蝯	云威元平
蝰	谿區齊平
蝱	明娃庚平
蝲	來・寒入
蝳	定・冬入
蝴	匣・模平
蝶	定・添入
蝶	透・添入
蝷	來・青入
蝸	見區歌平
蝸	見蛙麻平
蝸	見蛙佳平
蝹	影・豪上
蝹	影逶真平
蝹	影威文平
蝻	泥・覃上
蝽	昌惟真平
螂	來・唐平
螃	並・唐平
螃	幫・唐去
螃	幫・唐上
螄	生漪脂平
螅	心依蒸入
螆	清依之去
螇	匣・齊平
螇	谿・齊平
螈	疑威元平
螉	影・東平
螋	生漪尤平
螋	生逶魚平
螌	幫娃刪平
融	以惟東平
螐	影・模平
螒	匣・寒去
螓	從伊真平
螔	以伊支平
螔	心伊支平
螕	幫・齊平
螖	匣蛙山入
螗	定・唐平
螘	疑漪支上
螘	疑依微上
螙	端・模去
螚	泥・咍去
螜	匣・東入
螝	匣區咍去
螝	見逶脂平
螝	見逶脂去
螞	明娃麻上
螟	明・青平
螠	影伊支去
螡	明威文平
螢	匣區青平
螣	定・登入
螣	定・登平
螣	澄漪侵上
螪	書伊陽平
螫	書伊清入
螬	從・豪平
螭	徹漪支平
螮	端・齊去
螯	疑・豪平
螰	來・東入
螱	影威微去
螲	知漪真入
螳	定・唐平
螵	並伊宵平
螵	滂伊宵平
螶	羣依魚平
螷	並娃耕上
螷	並伊支平
螸	以惟魚平
螹	從伊鹽平
螹	從伊鹽上
螺	來區歌平
螻	來・侯平
螼	谿伊真上
螽	章惟東平
螾	以伊真平
螾	以伊真上
螿	精依陽平
蟀	生逶真入
蟁	明威文平
蟂	見・蕭平
蟃	明威元去
蟄	澄漪侵入
蟅	章伊麻去
蟆	明娃麻平
蟈	見蛙耕入
蟈	見區登入
蟉	羣伊幽平
蟉	羣伊幽上
蟉	來伊幽平
蟊	明依尤平
蟋	心伊真入
蟋	生漪真入
蟌	清・東平
蟍	來伊脂平
蟎	明・寒上
蟑	章伊陽平
蟒	明・唐上
蟓	書伊陽去
蟓	邪依陽上
蟗	清依尤平
蟙	章伊蒸入
蟚	並娃庚平
蟛	並娃庚平
蟜	羣漪宵平
蟜	見漪宵上
蟝	羣依魚平
蟟	來・蕭平
蟠	並・寒平
蟠	並威元平
蟡	見逶支上
蟡	影逶支平
蟢	曉依之上
蟣	羣依微平
蟣	見依微上
蟤	莊逶先平
蟥	匣區唐平
蟦	並威微平
蟦	並威微去
蟦	並威微上
蟧	來・豪平
蟧	來・蕭平
蟨	見威元入
蟩	見威元入
蟪	匣區齊去
蟫	定・覃平
蟫	以伊侵平
蟬	常伊先平
蟭	精伊宵平
蟮	常伊先上
蟯	日伊宵平
蟯	影・蕭平
蟯	影伊宵平
蟰	心・蕭平
蟰	心威東入
蟲	澄逶東平
蟲	澄逶東去
蟴	心伊支平
蟶	徹漪清平
蟷	端・唐平
蟹	匣娃佳上
蟺	常伊先上
蟻	疑漪支上
蟼	見娃麻平
蟼	見漪清平
蟼	見漪清上
蟾	常伊鹽平
蟾	章伊鹽平
蟿	谿・齊去
蟿	谿伊脂去
蠀	清伊脂平
蠁	曉依陽去
蠁	曉依陽上
蠃	來區歌平
蠃	來區歌上
蠅	以伊蒸平
蠆	徹娃夬去
蠇	來伊祭去
蠈	從・登入
蠉	曉惟先平
蠉	曉惟先上
蠊	來伊鹽平
蠋	澄逶冬入
蠋	章惟冬入
蠌	澄娃庚入
蠍	曉依元入
蠎	明・唐上
蠐	從・齊平
蠑	云逶清平
蠒	見・仙上
蠓	明・東平
蠓	明・東上
蠔	匣・豪平
蠕	日惟魚平
蠕	日惟先上
蠖	影區唐入
蠗	澄娃江入
蠙	並・仙平
蠙	並伊真平
蠚	曉・唐入
蠚	徹漪陽入
蠛	明・仙入
蠜	並威元平
蠞	從・仙入
蠟	來・談入
蠡	來・齊上
蠡	來伊支平
蠡	來區歌平
蠢	昌惟真上
蠣	來伊祭去
蠥	疑漪先入
蠦	來・模平
蠨	心・蕭平
蠩	章伊魚平
蠪	來・東平
蠭	滂威冬平
蠮	影・仙入
蠯	並娃佳平
蠯	並娃耕上
蠯	並伊支平
蠰	泥・唐平
蠰	日伊陽上
蠰	書伊陽去
蠰	生漪陽平
蠱	見・模上
蠲	見區仙平
蠵	匣區齊平
蠵	以惟支平
蠶	從・覃平
蠷	羣威魚平
蠸	羣逶先平
蠹	端・模去
蠻	明娃刪平
蠼	羣威魚平
蠼	見威陽入
蠽	精伊先入
蠾	常惟冬入
蠾	澄逶冬入
蠾	章惟冬入
血	曉區仙入
衁	曉區唐平
衃	滂區咍平
衃	滂依尤平
衄	日惟東入
衄	孃逶東入
衅	曉漪真去
衆	章惟東平
衆	章惟東去
衇	明娃耕入
衈	日伊之去
衊	明・仙入
衋	曉依蒸入
行	匣娃庚平
行	匣娃庚去
行	匣・唐平
行	匣・唐去
衍	以伊先去
衍	以伊先上
衎	谿・寒去
衎	谿・寒上
衒	匣區仙去
術	船惟真入
衕	定・東平
衕	定・東去
衖	匣娃江去
街	見娃佳平
街	見娃皆平
衙	疑娃麻平
衙	疑依魚平
衙	疑依魚上
衚	匣・模平
衛	云逶祭去
衝	昌惟冬平
衞	云逶祭去
衟	定・豪上
衡	匣娃庚平
衢	羣威魚平
衣	影依微平
衣	影依微去
衤	影依微平
衦	見・寒上
表	幫漪宵上
衩	初娃佳去
衪	以伊支平
衪	以伊支上
衫	生娃銜平
衭	幫威魚平
衮	見區痕上
衯	滂威文平
衰	生逶脂平
衰	初逶支平
衱	羣漪鹽入
衱	見依嚴入
衲	泥・覃入
衳	章惟冬平
衴	端・覃上
衵	日伊真入
衵	孃漪真入
衷	知逶東平
衷	知逶東去
衸	匣娃皆去
衸	見娃皆去
衹	羣伊支平
衹	章伊支平
衺	邪伊麻平
衼	章伊支平
衽	日伊侵去
衾	谿漪侵平
衿	見漪侵平
袀	見惟真平
袁	云威元平
袂	明伊祭去
袈	見娃麻平
袉	定・歌平
袉	定・歌上
袉	透・歌上
袊	來伊清上
袋	定・咍去
袌	並・豪平
袌	並・豪去
袍	並・豪平
袎	影娃肴去
袏	精・歌去
袑	常伊宵上
袒	定・寒上
袒	澄娃山去
袓	從依魚上
袓	精伊麻平
袔	匣・歌去
袕	匣區仙入
袕	船惟真入
袖	邪依尤去
袗	章伊真去
袗	章伊真上
袚	幫・寒入
袚	幫威廢去
袛	端・齊平
袜	明・寒入
袝	並威魚去
袞	見區痕上
袠	澄漪真入
袡	日伊鹽平
袢	並威元平
袣	以伊祭去
袤	明・侯去
袥	透・唐入
袦	孃蛙刪入
袨	匣區仙去
袪	谿依魚平
被	並漪支去
被	並漪支上
袱	並威東入
袲	以伊支平
袲	泥・歌上
袲	昌伊支上
袳	昌伊支上
袴	谿・模去
袵	日伊侵上
袷	見娃咸入
袷	見依嚴入
袸	從・仙去
袸	從區痕平
袹	明娃庚入
袺	見娃山入
袺	見・仙入
袼	見・唐入
袼	來・唐入
袽	孃漪魚平
袾	昌惟魚平
袾	知逶魚平
袿	見區齊平
裀	影伊真平
裁	從・咍平
裁	從・咍去
裂	來伊先入
裊	泥・蕭上
裋	常惟魚上
裌	見娃咸入
裍	谿區痕上
裎	澄漪清平
裎	徹漪清上
裏	來依之上
裒	並・侯平
裓	見・登入
裔	以伊祭去
裕	以惟魚去
裖	章伊真上
裗	來依尤平
裘	羣依尤平
裙	羣威文平
裛	影漪鹽入
裛	影漪侵入
裛	影依嚴入
補	幫・模上
裝	莊漪陽平
裝	莊漪陽去
裞	書惟祭去
裞	透區泰去
裟	生娃麻平
裠	羣威文平
裡	來依之上
裧	透・談上
裧	昌伊鹽平
裧	昌伊鹽去
裨	並伊支平
裨	幫伊支平
裪	定・豪平
裫	影區仙去
裮	昌伊陽平
裯	澄漪尤平
裯	澄逶魚平
裯	端・豪平
裰	端區寒入
裱	幫漪宵去
裱	幫漪宵上
裲	來依陽上
裳	常伊陽平
裴	並區咍平
裴	並威微平
裶	滂威微平
裷	谿威元上
裷	影威元平
裸	來區歌上
裹	見區歌去
裹	見區歌上
裺	影漪鹽上
裺	影依嚴去
裻	心・冬入
裻	端・冬入
裼	心・青入
製	章伊祭去
裾	見依魚平
褂	見蛙佳去
褆	定・齊平
褆	常伊支上
褆	澄漪支上
複	並依尤去
複	幫威東入
褈	澄逶冬平
褈	昌惟冬平
褉	曉・仙入
褊	幫伊先上
褋	定・添入
褌	見區痕平
褍	端區寒平
褍	端區歌上
褎	以伊尤去
褐	匣・寒入
褑	云逶先去
褒	幫・豪平
褓	幫・豪上
褔	滂依尤去
褕	以伊宵平
褕	以惟魚平
褖	透區寒去
褗	影依元去
褗	影依元上
褘	曉威微平
褙	幫區咍去
褚	徹漪魚上
褚	知漪魚上
褞	影威文上
褠	見・侯平
褡	端・談入
褡	端・覃入
褢	匣蛙皆平
褣	以惟冬平
褥	日惟冬入
褥	泥・冬入
褧	谿區青上
褨	心・歌上
褪	透區咍去
褫	澄漪支平
褫	澄漪支上
褫	徹漪支上
褫	徹漪之上
褭	泥・蕭上
褮	匣區青平
褮	影娃耕平
褮	影惟清平
褯	從伊麻去
褰	谿漪先平
褱	匣蛙皆平
褲	谿・模去
褳	來伊先平
褵	來伊支平
褶	定・添入
褶	常伊侵入
褶	邪伊侵入
褷	生漪支平
褸	來・侯平
褸	來威魚上
褹	疑伊祭去
褹	孃娃皆去
褺	定・添入
褻	心伊先入
褽	影威微去
褾	幫伊宵上
褿	從・豪平
襀	精伊清入
襁	見依陽上
襃	幫・豪平
襄	心依陽平
襆	並威冬入
襆	幫・東入
襇	見娃山去
襈	崇逶先去
襈	羣逶先去
