字	韻
㯋	見區青上
㯍	精依陽上
㯓	透・談入
㯔	清惟祭去
㯔	初逶祭去
㯕	心・齊平
㯙	澄漪先入
㯚	端・覃入
㯛	匣・模平
㯜	生漪真平
㯞	見惟先去
㯟	來・東入
㯠	谿・仙去
㯡	並娃肴平
㯫	羣依魚平
㯬	來伊鹽上
㯮	常惟冬入
㯯	見・東去
㯱	滂・豪平
㯲	見漪侵去
㯳	見漪清上
㯸	精伊真上
㯺	匣娃銜去
㯺	曉・談上
㯻	見區痕上
㯽	幫伊真平
㯿	以伊鹽入
㯿	來伊鹽入
㰁	來・歌上
㰂	書伊侵上
㰈	來伊鹽上
㰊	邪伊鹽平
㰋	並伊真平
㰍	來・東平
㰘	以伊脂平
㰚	來伊支平
㰠	曉・唐平
㰢	谿娃耕平
㰣	精伊支平
㰣	精伊支去
㰤	曉・歌去
㰤	曉・歌上
㰤	谿娃麻去
㰥	曉・齊去
㰦	谿依歌平
㰦	谿依魚去
㰨	曉娃佳平
㰪	見區齊平
㰪	影娃佳平
㰬	心惟真平
㰭	曉威魚平
㰮	常伊真上
㰯	曉・侯去
㰯	透・侯去
㰰	曉娃咸入
㰲	曉逶蒸入
㰲	影威東入
㰲	章惟冬入
㰳	影娃麻去
㰴	滂・侯去
㰵	精惟真入
㰶	並漪宵上
㰹	曉娃咸平
㰻	影漪脂上
㰼	生漪鹽入
㰽	影依元去
㱀	初漪之上
㱂	谿・唐平
㱃	影漪侵上
㱄	曉・登入
㱇	生漪蒸入
㱊	影依尤平
㱍	來區寒平
㱎	見區痕平
㱒	曉・歌平
㱕	見威微平
㱖	從惟脂去
㱙	曉依尤上
㱚	從・寒平
㱚	疑蛙刪入
㱜	莊娃山入
㱞	疑漪侵入
㱟	滂漪支平
㱟	滂漪支上
㱠	谿・模平
㱡	生漪蒸平
㱡	生漪蒸上
㱣	透區咍上
㱤	心・青入
㱥	來・登去
㱥	來依蒸平
㱦	谿漪支平
㱦	見漪支平
㱦	見漪支上
㱬	影區咍上
㱯	見・咍平
㱯	疑・咍平
㱱	匣區咍上
㱲	影伊支去
㱳	明娃庚入
㱴	從伊支去
㱵	幫威文去
㱸	並・青入
㱸	並伊清入
㱻	來區歌去
㱻	來區泰去
㱽	羣漪侵平
㱽	知漪侵上
㱾	谿・咍平
㱿	谿娃江入
㲀	崇漪真平
㲀	章伊真平
㲃	谿漪幽平
㲃	見依尤去
㲄	谿・東入
㲅	見・齊去
㲈	常伊宵平
㲉	谿娃江入
㲉	谿・東入
㲋	徹漪陽入
㲍	章伊支平
